dataset,model,sensitive,compression,seed,group,n,selection_rate,mean_entropy,mean_variance,mutual_information,ece,selection_disparity,entropy_disparity,variance_disparity,mi_disparity,ece_disparity,spearman_entropy_ece,spearman_mi_ece,spearman_entropy_selection,config_hash,python,versions
adult,logreg,sex,none,0,Female,4064,0.076526,0.207178,0.000689,0.002377,0.007059,0.177187,0.163075,0.001376,0.003135,0.003306,nan,nan,nan,74f350024cf3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,none,0,Male,8147,0.253713,0.370252,0.002065,0.005512,0.010365,0.177187,0.163075,0.001376,0.003135,0.003306,nan,nan,nan,74f350024cf3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.5,0,Female,4064,0.07628,0.209439,0.000692,0.002376,0.009928,0.170928,0.159761,0.001355,0.003109,0.001619,nan,nan,nan,44ea56eef5e0,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.5,0,Male,8147,0.247208,0.3692,0.002046,0.005484,0.011546,0.170928,0.159761,0.001355,0.003109,0.001619,nan,nan,nan,44ea56eef5e0,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.9,0,Female,4064,0.033465,0.197891,0.000702,0.002456,0.02116,0.140342,0.205635,0.001553,0.003311,0.010641,nan,nan,nan,afc89cf438c4,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.9,0,Male,8147,0.173806,0.403526,0.002255,0.005768,0.0318,0.140342,0.205635,0.001553,0.003311,0.010641,nan,nan,nan,afc89cf438c4,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,0,Amer-Indian-Eskimo,113,0.106195,0.295478,0.001692,0.004687,0.06297,0.150246,0.133023,0.000875,0.002158,0.061498,-0.3,-0.3,0.8,34cf9b22db40,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,0,Asian-Pac-Islander,371,0.234501,0.308945,0.001613,0.004426,0.070681,0.150246,0.133023,0.000875,0.002158,0.061498,-0.3,-0.3,0.8,34cf9b22db40,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,0,Black,1175,0.084255,0.217671,0.000882,0.002794,0.024501,0.150246,0.133023,0.000875,0.002158,0.061498,-0.3,-0.3,0.8,34cf9b22db40,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,0,Other,103,0.087379,0.195668,0.00082,0.002529,0.06376,0.150246,0.133023,0.000875,0.002158,0.061498,-0.3,-0.3,0.8,34cf9b22db40,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,0,White,10449,0.207771,0.328691,0.001695,0.004675,0.009183,0.150246,0.133023,0.000875,0.002158,0.061498,-0.3,-0.3,0.8,34cf9b22db40,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
